MCES	Nonconformity	Ion Type
9.195	2.1361618041992188	[M-H]-
10.64	1.8259948730468807	[M+H]+
10.64	4.068518066406256	[M-H]-
10.83	-5.479528808593756	[M+Na]+
9.17	-2.5667602539062386	[M+H]+
9.17	-2.0283935546875114	[M-H]-
9.61	-5.785208129882818	[M-H]-
9.6	-1.6198669433593693	[M+H]+
9.6	2.1593444824218864	[M+Na]+
9.6	-1.2436767578124943	[M-H]-
8.38	1.95904541015625	[M+Na]+
8.38	-0.06587524414061363	[M+H]+
9.15	0.17066040039063068	[M-H]-
10.0	-3.8054931640625114	[M-H]-
9.39	0.3893188476562557	[M-H]-
9.26	3.0093933105468693	[M-H]-
10.25	-2.606057739257807	[M+H]+
10.25	-5.369909667968756	[M-H]-
9.88	0.4618591308593807	[M+H]+
9.88	3.3688415527343807	[M+Na]+
9.88	-2.4780822753906193	[M-H]-
9.35	-1.1604187011718636	[M+H]+
9.9	-8.209518432617188	[M+H]+
12.195	2.871804809570307	[M+H]+
12.195	8.76238861083985	[M-H]-
8.55	7.321876525878906	[M-H]-
9.63	0.9005233764648466	[M-H]-
8.31	-2.6019836425781193	[M+H]+
10.05	1.5411865234374886	[M-H]-
10.0	3.457205200195318	[M-H]-
7.76	2.4898925781249943	[M-H]-
9.2	0.91876220703125	[M-H]-
11.33	0.5270172119140568	[M+H]+
11.08	7.196492004394528	[M+H]+
11.08	12.12932739257812	[M-H]-
9.67	-3.7971740722656193	[M-H]-
10.5	-4.347546386718761	[M-H]-
9.78	1.5244812011718807	[M+Na]+
9.78	2.8461730957031364	[M-H]-
9.94	-4.012426757812506	[M-H]-
9.63	-1.1470947265625	[M-H]-
10.42	1.2729400634765682	[M+H]+
11.65	-1.5407394409179744	[M+H]+
9.65	-2.6312438964843636	[M-H]-
11.0	0.633758544921875	[M+H]+
11.0	1.9685546874999886	[M-H]-
10.26	6.081195068359364	[M+H]+
10.26	0.5916381835937443	[M-H]-
9.86	0.9012390136718693	[M+H]+
9.86	-4.874295043945324	[M-H]-
9.72	-1.5027008056640625	[M+H]+
10.445	5.872039794921875	[M+H]+
10.02	-3.1071064933593675	[M+H]+
9.02	1.7467102050781307	[M-H]-
8.195	-5.005743408203131	[M+H]+
8.67	-4.118814086914057	[M+H]+
8.67	1.3137054443359375	[M-H]-
10.0	-0.05804443359375	[M+H]+
10.0	-10.540509033203136	[M+Na]+
9.9	2.2714660644531364	[M+H]+
10.52	-1.209136962890625	[M+Na]+
10.52	-1.9324737548828068	[M+H]+
10.42	-2.8206787109375	[M-H]-
9.9	6.4405059814453125	[M-H]-
9.74	-2.4088317871093636	[M-H]-
10.69	0.9897583007812614	[M-H]-
10.49	-18.64959106445312	[M+H]+
10.49	-10.288806152343739	[M-H]-
10.67	0.21494140625000568	[M+Na]+
10.67	-0.6282958984375	[M+H]+
10.0	7.306347656250011	[M-H]-
9.52	4.996966552734364	[M+H]+
9.95	-2.854666137695318	[M+H]+
9.65	1.2142181396484375	[M-H]-
9.0	8.791171264648426	[M+H]+
10.98	-3.1239074707031307	[M+H]+
10.98	11.69683837890625	[M-H]-
10.0	8.673825073242199	[M+H]+
11.38	6.357073974609364	[M-H]-
10.14	-5.955548095703136	[M+Na]+
10.14	12.232379150390614	[M+H]+
9.44	4.341198730468761	[M+H]+
9.98	-2.774758911132807	[M+H]+
9.914	4.065435791015631	[M-H]-
10.35	12.465502929687489	[M+Na]+
10.35	2.97613525390625	[M+H]+
9.48	2.032949829101568	[M-H]-
10.02	6.904806518554693	[M+H]+
10.836	-0.9476593017578239	[M-H]-
10.0	-2.2663696289062614	[M+H]+
10.0	-0.65234375	[M-H]-
10.0	-7.917492675781261	[M+Na]+
10.0	-14.253149414062506	[M+H]+
10.0	-13.427108764648438	[M-H]-
9.7	-5.505212402343744	[M+Na]+
9.89	1.8388824462890625	[M-H]-
9.15	1.0672149658203125	[M+Na]+
9.15	-1.7685089111328125	[M-H]-
11.336	0.4812866210937443	[M-H]-
8.78	6.814704895019531	[M-H]-
8.89	-5.103497314453122	[M+H]+
10.02	5.7673187255859375	[M-H]-
9.14	8.68121948242188	[M-H]-
9.12	-5.192285156249994	[M+H]+
9.67	10.458093261718744	[M+H]+
9.945	0.33870239257811363	[M+H]+
9.945	3.5909240722656364	[M+Na]+
9.945	-5.13946533203125	[M-H]-
9.45	8.690243530273449	[M+H]+
9.39	7.73394775390625	[M+H]+
9.24	0.2788482666015568	[M-H]-
9.9	-0.665985107421875	[M+Na]+
9.9	1.9585998535156364	[M+H]+
9.9	0.12108764648436932	[M-H]-
9.914	4.096928405761716	[M-H]-
10.08	1.3003723144531136	[M-H]-
9.78	4.674192810058599	[M-H]-
10.77	3.455796813964838	[M-H]-
9.13	1.2548797607421989	[M-H]-
9.33	3.147879028320318	[M-H]-
10.27	3.803009033203125	[M-H]-
8.78	3.1661788940429574	[M-H]-
7.87	-14.305090332031256	[M+Na]+
9.62	12.723464965820312	[M-H]-
10.086	5.892222595214847	[M-H]-
8.83	6.792852783203131	[M-H]-
10.38	10.890882873535162	[M-H]-
11.64	2.389199829101557	[M+H]+
11.64	1.9547531127929716	[M-H]-
10.33	5.936737060546875	[M-H]-
8.63	-0.7875091552734261	[M-H]-
9.39	19.265580749511713	[M-H]-
9.95	1.1240417480468636	[M+Na]+
9.95	-1.5598327636718636	[M+H]+
8.8	-8.87658081054687	[M+H]+
9.89	2.698544311523449	[M+H]+
9.15	1.9959838867187614	[M+H]+
9.06	2.8386337280273324	[M-H]-
10.836	3.481977844238287	[M-H]-
9.48	9.62915649414063	[M+H]+
9.47	0.9023223876953068	[M-H]-
9.586	12.345654296875011	[M+H]+
9.35	12.832171630859364	[M+H]+
9.805	-4.109173583984386	[M-H]-
8.39	4.307176208496088	[M-H]-
10.85	-4.321922302246094	[M+H]+
11.836	7.31378173828125	[M+H]+
11.836	8.593212890625011	[M-H]-
10.02	4.490838623046869	[M-H]-
8.5	6.3109130859375	[M-H]-
10.15	-0.362640380859375	[M-H]-
10.11	8.709275817871088	[M-H]-
7.902	4.595538330078114	[M-H]-
10.02	-6.464154052734386	[M+H]+
10.02	-16.50316772460937	[M+Na]+
10.02	21.19561157226562	[M-H]-
10.15	6.6414642333984375	[M-H]-
9.24	2.9655395507812443	[M-H]-
9.35	0.9560791015624943	[M-H]-
8.336	-3.567291259765625	[M+H]+
9.64	-8.363024902343753	[M+H]+
10.75	1.521144104003909	[M-H]-
9.63	-5.058056640625011	[M-H]-
9.74	4.820065307617199	[M-H]-
9.77	-2.736117553710926	[M+H]+
9.77	-2.23663330078125	[M-H]-
11.27	-1.146392822265625	[M+H]+
11.5	2.9165466308593864	[M+H]+
11.5	10.71325073242187	[M+Na]+
11.5	-0.8414459228515625	[M-H]-
10.8	5.400508117675784	[M-H]-
10.15	4.237030029296875	[M-H]-
10.74	7.4820404052734375	[M-H]-
10.76	4.730633544921872	[M-H]-
